submission_TITLE,submission_ABSTRACT,KEYWORDS_SELECTION
Pre-test Prediction of Non-ischemic Cardiomyopathies using Time-Series EHR Data,"Clinical imaging is an important diagnostic test to diagnose non-ischemic cardiomyopathies (NICM). However, accurate interpretation of imaging studies often requires readers to review patient histories, a time consuming and tedious task. We propose to use time-series analysis to predict the most likely NICMs using longitudinal electronic health records (EHR) as a pseudo-summary of EHR records. Time-series formatted EHR data can provide temporality information important towards accurate prediction of disease. Specifically, we leverage ICD-10 codes and various recurrent neural network architectures for predictive modeling. We trained our models on a large cohort of NICM patients who underwent cardiac magnetic resonance imaging (CMR) and a smaller cohort undergoing echocardiogram. The performance of the proposed technique achieved good micro-area under the curve (0.8357), F1 score (0.5708) and precision at 3 (0.8078) across all models for cardiac magnetic resonance imaging (CMR) but only moderate performance for transthoracic echocardiogram (TTE) of 0.6938, 0.4399 and 0.5864 respectively. We show that our model has the potential to provide accurate pre-test differential diagnosis, thereby potentially reducing clerical burden on physicians.","['Secondary use of EHR data', 'Medical Imaging', 'Machine learning and predictive modeling']"
Identify Repurposing Drugs with Reversal Gene Expression via Targeting Glioblastoma Expression Profile,"To address challenges in Glioblastoma (GBM) drug repurposing, we constructed a GBM expression profile from integrative analysis of transcriptomics and proteomics analysis, enabling identification of repurposing candidates. Our study identified 119 repurposing candidates and evaluated several repurposing candidates on their potential effect mechanism on GBM. We propose a promising strategy for unraveling GBM mechanisms and identifying repurposing candidates, extending insights into rare disease drug repurposing.","['Integrative omic analysis', 'Informatics research/biomedical informatics research methods', 'Drug discovery, repurposing, and side-effect discovery']"
Genome-wide DNA methylation profiling and identification of potential pan-cancer and tumor-specific biomarkers,"Aberrant DNA methylation is a hallmark of cancer making it a promising source of biomarkers, namely due to its stability, frequency, and accessibility in bodily fluids. The advent of minimally invasive methods such as liquid biopsies provide the perfect setting for methylation-based biomarker development and application. We developed a computational method to profile genome-wide methylation changes and identify both pan-cancer and type-specific markers for several cancer types, which we tested in a novel methylation assay.","['Biomarker discovery and development', 'Epigenomics', 'Machine learning and predictive modeling']"
Text and Audio Simplification: Human vs. ChatGPT,"Text and audio simplification to increase information comprehension are important in healthcare and with the introduction of ChatGPT, an evaluation of its simplification performance is needed. We provide a systematic comparison of human and ChatGPT simplified texts using fourteen metrics indicative of text difficulty. We briefly introduce our online editor where these simplification tools, including ChatGPT for simplification, are available. We scored twelve corpora using our metrics: six text, one audio, and five ChatGPT simplified corpora (using five different prompts). We compare these corpora with texts simplified and verified in a prior user study. Finally, a medical domain expert evaluated these texts and five, new ChatGPT simplifications. We found that simple corpora show higher similarity with the human simplified texts. ChatGPT simplification moves metrics in the right direction. The medical domain expert's evaluation showed a preference for the ChatGPT style, but the text itself was rated lower for content retention.","['Health literacy issues and solutions', 'Natural Language Processing', 'Health Information and biomedical data dissemination strategies']"
Enrichment Analysis and Unsupervised Clustering of Electronic Health Records Reveals Endometriosis Patient Subpopulations,"We apply enrichment analysis and unsupervised clustering to electronic health record (EHR) data from a large cohort of endometriosis patients to understand clinical associations and disease heterogeneity. We identify a wide array of diagnoses significantly enriched in cases and discover several distinct clusters of patients based on associated conditions. Our results confirm previous findings, lay groundwork for targeted investigations, and demonstrate how EHR data can dissect a complex disease at the clinical level.","['Data-driven research and discovery', 'EHR-based phenotyping', 'Secondary use of EHR data']"
Intracerebral Hemorrhage Segmentation: Leveraging Foundation Models for Specific Clinical Needs,"In this work we addressed the critical issue of intracerebral hemorrhage segmentation from NCCT scans by fine-tuning the Segment Anything Model providing just bounding box labels. The approach reduces manual labor, minimizes inter-operator variability, and demonstrates superior segmentation performance when compared to a conventional 3D-UNet model. This study underscores the potential of adapting foundation models for specific tasks in challenging contexts with limited data and resources, offering hope for addressing complex clinical scenarios.","['Medical Imaging', 'Bioimaging techniques and applications', 'Machine learning and predictive modeling']"
Leveraging GPT-4 for Identifying Clinical Phenotypes in Electronic Health Records,"This study evaluates OpenAI's GPT-4 model for identifying clinical phenotypes in non-small cell lung cancer patients from Electronic Health Records. Compared to scispaCy and medspaCy, GPT-4 achieves higher performance demonstrated by high F1 scores. GPT-3.5 performs similar to that of GPT-4. While rule-based models remain useful for some tasks, GPT models offer improved contextual understanding of the data, providing better insights into the clinical text and improving our ability to provide better care to patients.","['Natural Language Processing', 'EHR-based phenotyping', 'Data mining and knowledge discovery']"
Predicting Patient-Level Risk Associated with ECMO Utilizing the N3C Data Set,"Extracorporeal membrane oxygenation (ECMO) resource allocation in intensive care units lacks objective decision support tools, as evidenced during COVID-19 pandemic. We developed a multimodal predictive model incorporating static and time-series features from large high-resolution national database (N3C), outperforming all comparator models at all time-points up to 48-hours prior to extracorporeal use. Such models could provide the basis for clinically applicable decision support tools, derived from high-volume public repositories overcoming local data scale and content limitations.","['Clinical decision support for translational/data science interventions', 'Machine learning and predictive modeling']"
Enabling Semantic Topic Modeling on Twitter Using MetaMap,"Topic modeling performs poorly on short phrases or sentences and ever-changing slang, which are common in social media, such as X, formerly known as Twitter. This study investigates whether concept annotation tools such as MetaMap can enable topic modeling at the semantic level. Using tweets mentioning hydroxychloroquine for a case study, we extracted 56,017 posted between 03/01/2020-12/31/2021. The tweets were run through MetaMap to encode concepts with UMLS Concept Unique Identifiers (CUIs) and then we used Latent Dirichlet Allocation (LDA) to identify the optimal model for two datasets: 1) tweets with the original text and 2) tweets with the replaced CUIs. We found that the MetaMap LDA models outperformed the non-MetaMap models in terms of coherence and representativeness and identified topics timely relevant to social and political discussions. We concluded that integrating MetaMap to standardize tweets through UMLS concepts improved semantic topic modeling performance amidst noise in the text.","['Public health informatics', 'Natural Language Processing', 'Health Information and biomedical data dissemination strategies']"
Improving Clinical NLP Performance through Language Model-Generated Synthetic Clinical Data,"The challenge of building reliable pipelines for clinical natural language processing (NLP) often hinges on the availability of large expert-annotated datasets. Generating these datasets is time- and expertise-intensive, holding patient privacy and data sharing challenges. Our work explores new methods to release this bottleneck using synthetic data generated by large language models (LLM). Preliminary results show the promise of LLM-generated synthetic data to improve the performance and potential privacy concerns of clinical NLP methods.","['Natural Language Processing', 'Data quality', 'Clinical and research data collection, curation, preservation, or sharing']"
Inherently interpretable neural network with plausible explanations for ICU mortality prediction,"The study proposes a novel, inherently interpretable neural network architecture that predicts high-level concepts supervised by domain expert knowledge (SOFA organ-specific scores) as auxiliary tasks and uses them as units of explanation to predict longitudinal ICU mortality. The model performs at par with a baseline model without the explanations indicating no performance-explainability tradeoff. The explanations along with attention weights provide insights into which organ system failures can lead to future mortality.","['Data mining and knowledge discovery', 'Informatics research/biomedical informatics research methods', 'Machine learning and predictive modeling']"
CLASSify: A Web-Based Tool for Machine Learning,"Machine learning classification problems are widespread in bioinformatics, but the technical knowledge required to perform model training, optimization, and inference can prevent researchers from utilizing this technology. This article presents an automated tool for machine learning classification problems to simplify the process of training models and producing results while providing informative visualizations and insights into the data. This tool supports both binary and multiclass classification problems, and it provides access to a variety of models and methods. Synthetic data can be generated within the interface to fill missing values, balance class labels, or generate entirely new datasets. It also provides support for feature evaluation and generates explainability scores to indicate which features influence the output the most. We present CLASSify, an open-source tool for simplifying the user experience of solving classification problems without the need for knowledge of machine learning.","['Data-driven research and discovery', 'Machine learning and predictive modeling', 'Clinical and research data collection, curation, preservation, or sharing']"
Extraction of Chemotherapy Treatment Timelines from EHR Notes and Temporal Modeling of Cancer Treatment in Adult and Pediatric Patients,"Detailed information about tumor biology and effects of chemotherapy is key to understanding the outcomes of cancer patients. Given the complexity of cancer treatment, mapping tumor pathology and genetics to known therapy regimens is needed to decipher the effects of single or multiple medications within individualized treatment plans. To create these mappings, we must extract tumor biology and treatment medication information from the patient Electronic Health Record (EHR) at scale and align it with fine-grained representations of complex cancer treatments. Frequently, the information is not available as structured data; therefore, extraction from EHR notes is necessary. We developed to our knowledge the first end-to-end pipeline to extract chemotherapy events from EHR clinical narrative across all types of notes and to assemble a patient timeline. To represent the complexity of cancer treatments, we developed definitions of key concepts including protocols, regimens, phases, and treatment exposures. A dataset of pediatric patients with acute myeloid leukemia (AML) was used to develop the definitions, which were aligned with treatment protocol information as represented on HemOnc.org. This allowed us to develop a Web Ontology Language (OWL) information model and a model of pediatric AML regimens.","['Natural Language Processing', 'Cohort discovery', 'Knowledge representation, management, or engineering']"
Logical Form Translation for Clinical Trial Eligibility Criteria using Large Language Models,"Determining patients eligible for randomized clinical trials is an ongoing challenge. Often this stems from difficulties in determining eligible patients, which may be reviewed manually through chart review or with the assistance of technical personnel with informatics expertise. An alternative approach is the use of natural language interface tools such as LeafAI, a state-of-the-art system which uses a combination of deep learning models and rule-based methods to generate SQL database queries and identify eligible patients from free-text eligibility criteria. A key component ofthis process is the transformation of eligibility criteria into logical forms, machine-readable representations of underlying logic behind a given criteria. In this study, we study the capabilities of two widely used LLMs, GPT-3.5-turbo and GPT-4, in the logical form transformation task. In our experiments, we compare these LLMs against the original LeafAI architecture using a fine-tuned T5 model. We measure performance against a human-annotated gold standard and conduct an error analysis by categorizing types of errors from GPT-4.","['Clinical trials innovations', 'Data-driven research and discovery', 'Natural Language Processing']"
Deep Learning Approaches to Predict Exercise Exertion Levels Using Wearable Physiological Data,"Using physiological data from wearable devices, the study aimed to predict exercise exertion levels by building deep learning classification and regression models. Ten healthy individuals performed 16-minute cycling exercise sessions. During each session, real-time ECG, pulse rate, oxygen saturation, and revolutions per minute (RPM) data were collected at three intensity levels. Subjects' ratings of perceived exertion (RPE) were collected once per minute. Each 16-minute exercise session was divided into eight 2-minute windows. The self-reported RPEs, heart rate, RPMs, and oxygen saturation levels were averaged for each window to form the predictive features. In addition, heart rate variability (HRV) features were extracted from the ECG for each window. Different feature selection algorithms were used to choose top-ranked predictors. The best predictors were then used to train and test deep learning models for regression and classification analysis. Our results showed the highest accuracy and F1 score of 98.2% and 98%, respectively in training the models. For testing the models, the highest accuracy and F1 score were 80%.","['Machine learning and predictive modeling', 'Mobile Health, wearable devices and patient-generated health data', 'Knowledge representation, management, or engineering']"
FAIR privacy-preserving operation of large genomic variant calling format (VCF) data without download or installation,"Motivation: The proliferation of genetic testing and consumer genomics represents a logistic challenge to the personalized use of GWAS data in VCF format: the retrieval of target genetic variation from large compressed files with reference variant information that is mostly irrelevant to the phenotype in question. Compounding the data traversal challenge, privacy-sensitive VCF files are typically managed as stand-alone single files (no companion index file) composed of variable-sized compressed chunks governed by a vetted Cloud middlelayer, like Box.com, with no support for hosted execution.Results: A portable JavaScript module was developed to support fetching partial content using byte range requests; decompressing them from irregularly positioned of compressed chunks; by an efficient divide-and-conquer (binary) search algorithm iteratively identifying chromosome-position ranges in the remote compressed unindexed reference. This zero-footprint solution (no downloads, no installations) enables the interoperability, reusability, and user-facing governance advanced by the FAIR principles for stewardship of scientific data.","['Data commons', 'Data sharing / interoperability', 'Genotype-phenotype association studies (including GWAS)']"
DeepPhe-CR: Natural Language Processing Software Services for Cancer Registrar Case Abstraction,"The manual extraction of case details from patient records for cancer surveillance is a resource-intensive task. Natural Language Processing (NLP) techniques have been proposed for automating the identification of key details in clinical notes. Our goal was to develop NLP application programming interfaces (APIs) for integration into cancer registry data abstraction tools in a computer-assisted abstraction setting. We used cancer registry manual abstraction processes to guide the design of DeepPhe-CR, a web-based NLP service API. The extraction of key variables was done through NLP methods validated using established workflows. A container-based implementation of the NLP methods and the supporting infrastructure was developed. Existing registry data abstraction software was modified to include results from DeepPhe-CR. An initial usability study with data registrars provided early validation of the feasibility of the DeepPhe-CR tools.","['Natural Language Processing', 'Clinical and research data collection, curation, preservation, or sharing', 'Knowledge representation, management, or engineering']"
Development of a Study Protocol for Evaluation of a Novel Measure to Incorporate Information Freshness into Network Analysis of Online Resources for COVID-19,"We proposed a novel measure, Degree of Connectivity with Integration of Freshness (DCIF), to incorporate information freshness into analysis of online resource networks. We conducted a pilot study to apply this new measure to a dataset of online information resources related to COVID-19 risk assessment. Among the 52 nodes, we recorded statistically significant difference between the numerical values of DCIF and the traditional structural measure Degree of Connectivity (DC). Manual reviews of 18 selected nodes showed that DCIF outperformed DC in 11 of them, suggesting potential promise of the proposed new measure. We finalized the protocol for manual review based on the pilot and started a full-scale study. The proposed new measure has the potential to provide quantitative assessment on information freshness for timely and effective dissemination of clinical evidence. Further research is required to address the limitations of this pilot study and to examine the generalization of the findings.","['Data mining and knowledge discovery', 'Ontologies', 'Knowledge representation, management, or engineering']"
"AI Chatbot Influence on Medical Decision-Making, Bias, and Equity: A Randomized Study of Clinicians Evaluating Clinical Vignettes","Amid increasing AI integration in healthcare, potential bias concerns arise. This study assessed whether combining clinical expertise with AI, specifically, a large language model (GPT-4), could enhance medical decision-making without introducing demographic bias. 50 physicians evaluated clinical vignettes of chest pain, portrayed by actors of different races. The intervention significantly improved participant scores across groups comparably, not introducing or exacerbating any race or gender biases.","['Clinical decision support for translational/data science interventions', 'Natural Language Processing', 'Machine learning and predictive modeling']"
Knowledge Engineering of Lexicon Resources of Food and Housing Insecurity from Multi-source Evidence,"The World Health Organization defines Social and Behavioral Determinants of Health (SDoH) as the conditions in which people are born, grow, live, work, and age. These determinants, including income, education, ethnicity, social activity, and physical activities, play a significant role in shaping people's health, healthcare outcomes, and healthcare fairness and disparity. To facilitate the widespread application of SDoH information derived from real-world evidence, we propose the development of lexicon resources for food and housing insecurity concepts. We employed three distinct approaches (UMLS, Literature, and LLM) to create these lexicon resources. Sentence-level annotation and error analysis were conducted to evaluate the precision of each method. Our study revealed that cross-referencing with UMLS was the most effective method. The LLM method achieved relatively good precision at the expense of identifying fewer results from EHRs for food insecurity. The overarching intention of our study, rather than comparing the performance of each source, is to evaluate the effectiveness of each approach in the given context in order to help design a hybrid solution by leveraging all combinations of each source to provide the best solution. In future studies, we aim to collaborate with the University of Kentucky and the University of Pittsburgh to expand these lexicon resources into robust NLP models and perform cross-validation.","['Natural Language Processing', 'Secondary use of EHR data', 'Social determinants of health']"
Topology-based Clustering of Functional Brain Networks in an Alzheimer's Disease Cohort,"Alzheimer's disease is a progressive neurodegenerative disease with many identifying biomarkers for diagnosis. However, whole-brain phenomena, particularly in functional MRI modalities, are not fully understood nor characterized. Here we employ the novel application of topological data analysis (TDA)-based methods of persistent homology to functional brain networks from ADNI-3 cohort to perform a subtyping experiment using unsupervised clustering techniques. We then investigate variations in QT-PAD challenge features across the identified clusters. Using a Wasserstein distance kernel with a variety of clustering algorithms, we found that the 0th-homology Wasserstein distance kernel and spectral clustering yielded clusters with significant differences in whole brain and medial temporal lobe (MTL) volume, thus demonstrating an intrinsic link between whole brain functional topology and brain morphometric structure. These findings demonstrate the importance of MTL in functional connectivity and the efficacy of using TDA-based machine learning methods in network neuroscience and neurodegenerative disease subtyping.","['Medical Imaging', 'Data-driven research and discovery', 'Machine learning and predictive modeling']"
Interpretability Study for Long Interview Transcripts from Behavior Intervention Sessions for Family Caregivers of Dementia Patients,"Mental health challenges are significant global public health concerns, affecting millions of people and impacting individuals, families, and communities alike. Therapists play a crucial role in supporting those with mental health issues by providing emotional, practical, and financial assistance, as well as facilitating access to treatment and services. Utilizing one-to-one interviews is an effective approach that yields valuable transcripts for further study. In this paper, we focus on interview transcripts between therapists and caregivers with family members suffering from dementia. We propose a method to efficiently handle long interview transcripts for classification. Then we employ the Shapley-value based interpretability technique to identify important contents that significantly contribute to classification results and build a corpus containing sentences potentially beneficial to the therapy. This approach offers valuable insights for enhancing the treatment of mental health issues.","['Data-driven research and discovery', 'Natural Language Processing', 'Machine learning and predictive modeling']"
Comparison of Manual and Automated Cutaneous T-cell Lymphoma Chart Review via NLP,"Cutaneous T-cell lymphomas (CTCL) are non-Hodgkin's lymphomas that are difficult to diagnose. We performed manual chart review and compared it to a novel natural language processing pipeline to identify early clues for CTCL diagnosis. Both human review and NLP found similar trends pre-diagnosis. Differences may be due to errors in human or machine processing, different notes included, or false positives. We discuss implications for designing and evaluating NLP systems for extracting clinical features from notes.","['Natural Language Processing', 'Informatics research/biomedical informatics research methods', 'Clinical and research data collection, curation, preservation, or sharing']"
Clinical Note Structural Knowledge Improves Word Sense Disambiguation,"Clinical notes are full of ambiguous medical abbreviations. Contextual knowledge has been leveraged by recent learning-based approaches for sense disambiguation. Previous findings indicated that structural elements of clinical notes entail useful characteristics for informing different interpretations of abbreviations, yet they have remained underutilized and have not been fully investigated. To our best knowledge, the only study exploring note structures simply enumerated the headers in the notes, where such representations are not semantically meaningful. This paper describes a learning-based approach using the note structure represented by the semantic types predefined in Unified Medical Language System (UMLS). We evaluated the representation in addition to the widely used N-gram with three learning models on two different datasets. Experiments indicate that our feature augmentation consistently improved model performance for abbreviation disambiguation, with the optimal F1 score of 0.93.","['Natural Language Processing', 'Secondary use of EHR data', 'Machine learning and predictive modeling']"
Age-related Modifications in Inter-tissue Coordinated Gene-expression Patterns,"Aging in humans is one of the most complex biological processes and is a known risk factor for various diseases. Current genomic studies focus on finding factors associated with aging within a distinct tissue. As aging is a systematic process, involving many genes and biological pathways across multiple tissues, generating a global view can provide valuable insights into aging mechanisms. Understanding the underlying molecular mechanisms in aging and how molecular pathways interplay with each other between tissues is still lacking. We propose a novel computational framework to identify and characterize how aging affects the coordinated patterns of gene-expression in three tissues (Adipose, Muscle and Brain). We refined a weighted gene co-expression network analysis algorithm to represent a multi-layer network of inter-and intra-tissue associations in a balanced way. The network was generated across ~1000 samples for old and young age groups, which simultaneously captures gene interactions within and across multiple tissues. We then quantified the changes in connectivity in the young versus the old group. We show a significant age-related decrease in inter-tissue coordination, followed by a connectivity loss of genes. Specifically, we detected metabolic and immune pathways inter-tissue coordination changes to play a critical role in the progression of aging. Finally, we used single-sample pathway analysis (ssPA) as features fed into the Random Forest (RF) model (AUC=0.7) to detect key changes in inter-tissue synchronization of biological pathways in the aging process.Our novel framework highlights the importance of understanding the inter-tissue coordination processes underlying healthy aging.","['Systems biology and network analysis', 'Transcriptomics', 'Data-driven research and discovery']"
The Role of Augmented Reality in Advancing Medical Training Techniques: A Study on Cricothyroidotomy,"In the realm of difficult airway management, Cricothyroidotomy stands as a critical procedure, yet it remains infrequently encountered, leaving many healthcare professionals unfamiliar with its intricacies. This study aimed to develop an Augmented Reality (AR) training program for Cricothyroidotomy, leveraging the growing role of AR in medical education, and assess its effectiveness compared to traditional training methods. The investigation unfolded at Seoul's Samsung Medical Center (SMC) over November to December 2022, enrolling doctors and Emergency Medical Technicians (EMTs) who were novices to the HoloLens technology. A total of 30 participants were randomly allocated to two groups: one utilizing PowerPoint presentations (PPT), and the other embracing AR-based training.Participants engaged in five training sessions, and a follow-up session after two weeks gauged their retention of the procedure. The primary outcome measure was the total procedure time. Secondary outcomes encompassed self-reported confidence, satisfaction, and pre-post assessments conducted through surveys. Additionally, researchers evaluated participants' Cricothyroidotomy skills and assessed HoloLens2 usability using the System Usability Scale (SUS) and HoloLens Likert feedback surveys.Results unveiled comparable procedure times between the two groups, with no significant differences in performance satisfaction. Notably, short-term memory retention was evident through pre-post exam analysis, coupled with high levels of educational satisfaction. These findings underscore the viability of this training approach, especially in contexts necessitating remote learning, such as those influenced by the constraints of the COVID-19 pandemic.","['Education and Training', 'Outcomes research, clinical epidemiology, population health']"
Low-Cost Histopathological Mitosis Detection for Microscope-acquired Images,"Cancer outcomes are poor in resource-limited countries owing to high costs and insufficient pathologist-population ratio. The advent of digital pathology has assisted in improving cancer outcomes, however, Whole Slide Image scan- ners are expensive and not affordable in low-income countries. Microscope-acquired images on the other hand are cheap to collect and can be more viable for automation of cancer detection. In this study, we propose LCH-Network, a novel method to identify the cancer mitotic count from microscope-acquired images. We introduced Label Mix, and also synthesized images using GANs to handle data imbalance. Moreover, we applied progressive resolution to handle different image scales for mitotic localization. We achieved F1-Score of 0.71 and outperformed other existing techniques. Our findings enable mitotic count estimation from microscopic images with a low-cost setup. Clinically, our method could help avoid presumptive treatment without a confirmed cancer diagnosis.","['Medical Imaging', 'Public health informatics', 'Machine learning and predictive modeling']"
