row_id,submission_TITLE,HIGHLIGHTED THEME (OPTIONAL),submission_ABSTRACT,KEYWORDS_SELECTION
11,Classification of Ejection Fraction Values Using Large Language Models,Harnessing the Power of Large Language Models in Health Data Science,"Clinical Natural Language Processing has benefited from pre-trained Large Language Models (LLMs). This study applies LLMs to classify left ventricular ejection fraction (LVEF) values. Our models use a collection of phrases containing LVEF and quantitative values to assign each echocardiogram report one of three categories: ‘40% or below, ‘41 to 49%’, or ‘50% or above’. We hypothesize that LLMs with quantitative reasoning ability can improve classification of LVEF values at the document level. We created transformer-based models using various LLMs. We used the BlueBERT, GPT2 to fine-tune the target task. We also employed more recent LLMs such as DeBERTa and Flan-T5 which have better mechanisms to handle long sentences and represent each word more effectively. All LLM models outperformed the traditional machine learning model, which showed the efficiency of LLMs in handling quantitative values. DeBERTa and Flan-T5 were the best performing models despite not being pre-trained on medical texts. Our study showed that leveraging LLMs can improve text classification with numeric expressions.","['Natural Language Processing', 'Machine learning and predictive modeling']"
12,A Survey of Clinical Algorithms with Race,,"There is growing awareness that clinical algorithms that incorporate an individual’s race as an input variable may cause health care disparities, especially in racial minorities. To raise awareness of race in clinical decision making and track progress toward eliminating its inappropriate use, we identified 46 race-based clinical algorithms and characterized them on specialty, country of origin, model type, output type, and target user. We also built an online database of the identified algorithms.","['Social determinants of health', 'Patient centered research and care', 'Ethical, legal, and social issues']"
13,Develop a PCC surveillance database for tracking post-COVID-19 conditions by Microsoft Access,,"This project is an integral component of the CDC's PCC surveillance initiative. By employing Microsoft Access as our Database Management System, established a secure and HIPAA-compliant database for storing, analyzing, and tracking post-COVID-19 condition data. The objective of this project is to assess the suitability of Microsoft Access for creating user-friendly surveillance databases and to explore its potential utility in diverse COVID-19 research endeavors and beyond.","['Clinical and research data collection, curation, preservation, or sharing', 'Data/system integration, standardization and interoperability']"
14,Comparing Prevalence of Adverse Drug Events Identified in Structured EHR Data to Clinical Trial Benchmark,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,After-market surveillance of adverse drug events (ADEs) is a critical component of real-world data. Documentation of ADEs is often found in unstructured notes that can require complex methods and workflows to parse. This study explores methods for using structured electronic health record data to identify ADEs in patients receiving systemic anti-cancer therapy. The prevalence of ADEs using these methods is approximately one third of those reported in a clinical trial studying a similar patient population.,"['Data-driven research and discovery', 'Secondary use of EHR data', 'Drug discovery, repurposing, and side-effect discovery']"
15,Improving Discharge and Contingency Planning Using AI-Generated Feedback,,"This study explored the use of AI-generated feedback to improve discharge and contingency planning. Physicians created prompts for the GPT-4 AI system, allowing it to analyze medical notes and provide narrative feedback, including example discharge or contingency planning recommendations. Outputs were assessed using a 5-point Likert scale for understandability, bias, clinical relevance, and clinical usefulness. In total, 67 suggestions met the criteria for distribution, while 15 did not due to lack of clinical “usefulness”.","['Patient centered research and care', 'EHR-based phenotyping', 'Machine learning and predictive modeling']"
16,Characterizing Disclosures of Sexual Trauma in the Electronic Health Record Using Care Site Data and Natural Language Processing,,"This study explores the clinical contexts and a natural language processing model for the detection of references to sexual abuse (SA) in 3 million clinical notes from Vanderbilt University Medical Center. Psychiatric and obstetric specialties are over-represented in these references than would be expected by chance. The model has a precision of 0.97, a recall of 0.99, and an F1 score of 0.98. Researchers can use this methodology to advise decisions about SA screening protocols.","['Natural Language Processing', 'Secondary use of EHR data', 'Informatics research/biomedical informatics research methods']"
17,Identification of Ventilator-Associated Pneumonia: A Comparison of ICD Codes and Physician Review,,"Ventilator-associated pneumonia (VAP) is a frequent and serious complication in intensive care units with high mortality. Accurate identification of VAP has clinical, health system, and research implications. International Classification of Diseases (ICD) codes for VAP are routinely used for administrative and research purposes, the reliability has been questioned. Thus, this study compared the accuracy of ICD codes against physician review for the diagnosis of VAP.","['Data quality', 'EHR-based phenotyping', 'Clinical and research data collection, curation, preservation, or sharing']"
18,Addressing NC Children’s Mental Health Disparity with a Virtual Community House,Fairness and Disparity in Health and Biomedical Informatics: Addressing Inequities through Innovation,"Recognizing the critical role of mental health in overall well-being, our project targets the concerning prevalence of child mental health issues in the United States, especially in North Carolina. We created a 3D virtual mental health community house on Roblox to educate, empower, and support children, with the potential to advance mental health education and research, benefiting both the mental health and informatics fields.","['Patient centered research and care', 'Education and Training', 'Stakeholder (i.e., patients or community) engagement']"
19,"Identifying Psychosis Episodes in Admission Notes: A Comparative Study of Rule-based Methods, Machine Learning Algorithms, and Pre-Trained Language Models",Harnessing the Power of Large Language Models in Health Data Science,"This study examined the efficacy of various methods for identifying psychosis in 4,732 psychiatric admission notes. We compared rule-based algorithms, machine learning classifiers like XGBoost, and pre-trained language models (PLMs). Results showed that XGBoost outperformed other methods, achieving an F1 score of 0.8881, while rule-based and PLMs lagged behind. The study emphasizes the potential of machine learning, especially XGBoost, in improving diagnostic accuracy in psychiatric care, and suggests further research on feature selection and error analysis.","['EHR-based phenotyping', 'Natural Language Processing', 'Machine learning and predictive modeling']"
20,Slow worsening toward acute cardiovascular diseases in patients with lifestyle-related diseases: Longitudinal study using a large clinical database at Kochi Medical School Hospital,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"BACKGROUND: Elderly patients having one or more of three major lifestyle-related diseases (LRDs), including diabetes mellitus, hypertension, and hyperlipidemia, are more likely to develop acute cardiovascular diseases (A-CVDs), such as acute cerebrovascular disease (A-CBVD) and acute ischemic heart disease (A-IHD). We investigated how status of LRD patients would slowly worsen toward the onset of A-CVDs several or more years in the future. METHODS: Coded data accumulated in a clinical database having about 340,000 patients at Kochi Medical School Hospital were used. Patients who were 51 years old or older, did not receive any cancer therapies, had one or more LRDs, and developed A-CVDs between five and ten years after LRD diagnosis were selected. Whether these patients developed increased LRDs or other diseases increasing the risk for A-CVDs, such as chronic kidney disease, chronic liver disease, and angina, was investigated. RESULTS: There were 55 cases of A-IHD and 377 of A-CBVD that appeared between five and ten years after LRD diagnosis. The percentages of cases having two or more LRDs or one or more risk diseases were 35% and 24% in A-IHD cases and A-CBVD cases, respectively, at the time of LRD diagnosis, and they increased greatly to 93% and 75% in A-IHD cases and A-CBVD cases, respectively, at the onset of A-IHD and A-CBVD. CONCLUSION: It was found that, in many patients developing A-CVDs between five and ten years after LRD diagnosis, their status clearly worsened slowly toward the onset of A-CVDs.","['Data-driven research and discovery', 'Outcomes research, clinical epidemiology, population health']"
21,Design and Validation of Machine Learning Models Utilizing Pre- and Intra-operative EHR Data to Predict Postoperative Delirium,Proactive Machine Learning in Biomedical Applications: The Power of Generative AI and Reinforcement Learning,"This study aims to design and validate machine learning models to predict postoperative delirium (POD) using preoperative and intraoperative features from patient EHR data, and to compare outcomes across cardiac and non-cardiac surgery cohorts. Utilizing both preoperative and intraoperative risk factors between these distinct patient groups is critical for a comprehensive understanding of patients’ risk of developing POD. This can guide tailoring of patient care to enhance patient prognosis and surgical decision-making across surgical subgroups.","['EHR-based phenotyping', 'Data mining and knowledge discovery', 'Machine learning and predictive modeling']"
22,THRESHOLD: A Comprehensive Transcriptomic Analysis Tool for Evaluating Gene Saturation and Impact in Disease Progression,Implementation Science and Deployment in Informatics: From Theory to Practice,"Gene expression analysis is fundamental in molecular biology for deciphering cellular function and understanding diseases. To tackle the complexities of large datasets, the THRESHOLD software was developed, employing Python and Java with essential libraries. It utilizes saturation analysis to identify highly expressed genes shared among diverse patient datasets, offering a novel approach to uncovering common gene expression patterns. THRESHOLD features 'Incremental Saturation' for in-depth analysis at specific ranks and 'Overall Saturation' for a comprehensive overview. Users can customize saturation types, restriction factors, and rank types, generating interactive saturation graphs and identifying saturated genes.THRESHOLD's significance lies in its ability to consistently identify regulated genes in diseases, with user-defined parameters, providing insights into potential drug targets, disease pathways, and gene networks. THRESHOLD has the potential to advance our understanding of molecular signatures, refine patient stratification, and facilitate tailored therapeutic interventions, making it a valuable resource in molecular biology research. THRESHOLD is freely available at https://github.com/alperuzun/THRESHOLD","['Transcriptomics', 'Data-driven research and discovery', 'Genomics/Omic data interpretation']"
23,"Data Governance for Sharing and Access to Real-World Data at University of Iowa Healthcare, a Case Study",,"Data governance enables secondary use of clinical data for research, including policies and procedures for managing data to ensure accuracy, completeness, consistency, and security. Establishing standards for collection, storage, sharing, and assigning roles and responsibilities for managing data is critical throughout a project’s lifecycle. This describes the evolution of UI HealthCare’s data governance for research, development of an external data sharing process, implementation of related processes, continuous improvement and ongoing observations of data governance maturity.","['Data sharing / interoperability', 'Enterprise data warehouse/Data lake', 'Sustainable research data infrastructure']"
24,Evaluating ChatGPT as an Adjunct for Clinical Data Extraction,Harnessing the Power of Large Language Models in Health Data Science,"This case report investigates the application of the GPT-4 language model in extracting clinically relevant information from medical reports across a variety of conditions. Key findings were identified by GPT-4 from diverse reports including Next-Generation Sequencing, Fluorescent In Situ Hybridization, Flow Cytometry, Chromosome Analysis, Echocardiogram, and Dual X-ray Absorptiometry scans. Preliminary results suggest that the GPT-4 model potentially improved data extraction efficiency by outperforming traditional SQL query practices by a factor of 4 to 9 in our specific setup, while also effectively managing data variations. These findings, although promising, need further validation through larger-scale studies. The initial evidence, however, underscores the potential utility of GPT-4 in enhancing the speed and accuracy of clinical data extraction, which can be beneficial in both research and clinical contexts.","['Data mining and knowledge discovery', 'Natural Language Processing', 'Clinical and research data collection, curation, preservation, or sharing']"
25,One Model Fits All? High-performing Multi-task Model of Urinary Tract Dilation (UTD) Classification Using NLP for Neonatal Ultrasound Reports,Harnessing the Power of Large Language Models in Health Data Science,"This study addresses the challenges in interpreting urinary tract dilation (UTD) in neonatal ultrasound reports due to inconsistent language. We developed a high-performing, multi-task and multi-class model using natural language processing (NLP), specifically BERT algorithms. The model was trained on ultrasound reports from Boston Children's Hospital, outperforming GPT-3.5 models in both '0-shot' and '3-shot' scenarios with an average F1 score of 0.942. The findings indicate its strong potential for reliable, automated extraction of UTD classifications, streamlining both clinical management and research in pediatric hydronephrosis.","['Natural Language Processing', 'EHR-based phenotyping', 'Machine learning and predictive modeling']"
26,Symptom Trajectories Prior to Out of Hospital Cardiac Arrest – Insights from Natural Language Processing,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"We leverage natural language processing (NLP) to analyze clinical notes within a healthcare system, aiming to uncover critical insights into the trajectories of symptoms leading up to out-of-hospital cardiac arrest (OHCA). Applying NLP to 2366 OHCA cases and 23,660 matched controls, we identified seven symptoms associated with a 40-100% increased odds of OHCA 30 days before the event. These symptoms exhibited a growing discrepancy in prevalence between cases and controls in the months preceding OHCA.","['Data mining and knowledge discovery', 'EHR-based phenotyping', 'Secondary use of EHR data']"
27,A Natural Language Processing Framework for the Retrospective Identification of Surgical Site Infections,Harnessing the Power of Large Language Models in Health Data Science,"The recognition and tracking of postoperative complications are important for patient care and quality improvement. Current practices are frequently inefficient or incomplete. We propose a machine learning framework for the automatic tracking of complications, with surgical site infections as an initial test case. A high-performing machine learning system for this purpose has the potential to improve record keeping, reduce cost, and support education and research.","['Data mining and knowledge discovery', 'Secondary use of EHR data', 'Machine learning and predictive modeling']"
28,Facilitators and Barriers to Implementation of EMPOWER mobile app for diabetes self-management,Implementation Science and Deployment in Informatics: From Theory to Practice,"This study aims to identify facilitators and barriers to implementation of EMPOWER app, a digital tool designed to promote behavioral changes for patients with type 2 diabetes. Limited ability in interpreting health indicators and navigating the EMPOWER app (Capability) were important determinants. Participants desired nudges that are compatible with their lifestyle (Physical Opportunity). Nudges served as a reminder to increase Automatic Motivation. Nevertheless, the lack of tangible results diminished Reflective Motivation for behavior change.","['Mobile Health, wearable devices and patient-generated health data', 'Implementation Science', 'Outcomes research, clinical epidemiology, population health']"
29,Development of A Gene-List Capable of Stratifying Mixed Aetiology Cardiomyopathy by Risk of Heart Failure Progression in Blood and Tissue Based Datasets,,"Early screening and diagnosis of heart failure remains an area if unmet clinical need. Using publicly available datasets, regression analysis and clustering in R, we have developed a gene-list capable of stratifying mixed aetiology cardiomyopathy by risk of heart failure progression in blood and tissue-based datasets. The gene-list shows potential to be developed into a non-invasive, predictive and diagnostic tool with translational clinical potential in cardiology.","['Transcriptomics', 'Biomarker discovery and development', 'Data mining and knowledge discovery']"
30,Prediction of Triple Vessels Disease using Fundus Photography and Clinical Risk Factors: A Prospective Cohort Study,,"Cardiovascular disease stratification is crucial for optimizing treatment selection and resource allocation. In recent years, fundus photography has unveiled the promising potential of retinal vascular features as predictive markers for major cardiovascular events and overall mortality[1]. The integration of artificial intelligence, particularly deep learning algorithms, into this field has opened up exciting new possibilities[2]. We conducted a prospective observational study aimed to compare the predictive value of TVD using fundus photography with a deep learning model, against machine learning model using clinical risk factors only.This study, conducted at a Singaporean tertiary referral center, enrolled high cardiovascular-risk patients undergoing angiography. Ethical approval and informed consent were obtained. TVD was defined as >50% stenosis in three or more major coronary vessels. A Swin Transformer-based deep learning model analyzed fundus photos, excluding unsuitable images. Each patient had at least two fundus photos, with 80% for training, 10% for validation, and 10% for testing. Clinical risk factors were analyzed using Autoscore, and outcomes were measured by the area under the receiver operating characteristic (AUROC) curve.Out of 279 patients, 28.0% had TVD, with a majority having hypertension (63.0%) and hyperlipidemia (81.0%), and 37.6% having diabetes history. Deep learning analysis of 1432 fundoscopy images showed higher TVD predictions compared to the best clinical risk-based machine learning model (AUROC 0.865 vs. 0.751).This study demonstrates the efficacy of fundus photography-based deep learning in predicting TVD. The model outperforms clinical risk-based machine learning in high-risk, prospective patient groups.","['Clinical decision support for translational/data science interventions', 'Medical Imaging', 'Machine learning and predictive modeling']"
31,Alternate Approaches to ICD-10CM Feature Reduction Variably Predict Pediatric Neurofibromatosis Type 1 Sub-Phenotypes,,"Electronic health records (EHR) data are valuable for predictive modeling of disease conditions but challenging to use in their raw form. In this study, using feature reduction and aggregation methods, we transform diagnostic codes into high-level feature sets which are used, with demographics, to predict neurofibromatosis type 1 (NF1) sub-phenotypes (OPG, ADHD, scoliosis) in children with NF1. We evaluate and compare the utility of the feature sets using various models (logistic regression, random forest, XGBoost).","['Secondary use of EHR data', 'Data-driven research and discovery', 'Machine learning and predictive modeling']"
32,OncQA: A Clinical Question-answering Benchmark for Oncology,Harnessing the Power of Large Language Models in Health Data Science,"OncQA aims to create a realistic clinical oncology question-answering dataset that is suitable for LLM-era evaluation. Using expert-curated question-answer pairs based on synthetic patient synopses and patient inbox messages, we produce a benchmark dataset for assessing clinical language models' capabilities and limitations in a real-world clinical context. We also investigate how LLM-generated responses compare to clinicians’ responses and impact human efficiency and behavior in answering patient questions.","['Natural Language Processing', 'Education and Training', 'Clinical and research data collection, curation, preservation, or sharing']"
33,"Language models, Explain these Clinical Trials to me as if I am a Sixth Grader!",Harnessing the Power of Large Language Models in Health Data Science,We developed methods using large language models to generate accessible summaries of cancer clinical trials from ClinicalTrials.gov tabular data. These summaries could support patients in self-education about potential trials. (stats one sentence highlight) Our techniques could amplify the impact of ClinicalTrials.gov by extending its role to patient-facing applications which could improve representation on clinical trials. We also release a novel summarization dataset and model.,"['Natural Language Processing', 'Clinical trials innovations', 'Clinical and research data collection, curation, preservation, or sharing']"
34,Going Beyond the Technology: Considerations in Translating Case Report Forms,Fairness and Disparity in Health and Biomedical Informatics: Addressing Inequities through Innovation,"Translating case report forms is important to ensure inclusive, ethnically, and culturally diverse research study populations. Leveraging REDCap, we developed a process to manage, implement, and certify language translations to increase representation from study participants whose primary language is not English.","['Health literacy issues and solutions', 'Recruitment technologies', 'Clinical and research data collection, curation, preservation, or sharing']"
35,Generating Simpler Medical Synonyms Using Word Embeddings,,"We used the PubMed Open Access corpus to learn word embeddings to suggest easier synonyms for difficult terms. We evaluate cosine similarity to the difficult word to fine-tune the synonym list. On a sample of medical texts, the new synonyms provide coverage for a third of the difficult words with reasonable precision (26%). With increased similarity, precision improved. This approach is an efficient and generic method to generate simpler synonyms.","['Natural Language Processing', 'Health literacy issues and solutions', 'Data mining and knowledge discovery']"
36,Exploring GPT Prompt Engineering to Produce Structured Outputs,Harnessing the Power of Large Language Models in Health Data Science,"GPT models effectively extract targeted information from unstructured text in a variety of domains. However, their output tends to include superfluous text not conducive for downstream high-throughput computation. We examined how prompt engineering can produce more structured outputs and determined if there are tradeoffs to accuracy and reproducibility. Our results suggest a small tradeoff between optimizing structure versus accuracy of GPT output, the importance of which depends on the purpose of the information extracted.","['Data mining and knowledge discovery', 'Natural Language Processing', 'Knowledge representation, management, or engineering']"
37,A Text-Mining Model for Extracting Phenotypes from NF1 Clinical Notes,Integrating Multi-Modal health Data to Enhance the Power of Informatics,"Neurofibromatosis Type 1 (NF1) is a syndrome with variable expressivity, caused by mutations in the NF1 gene. Current management of the disorder is reactive due to the lack of early risk-stratification tools. This study develops and evaluates a model that extracts clinically-relevant phenotypes from progress notes to facilitate development of risk-stratification models for NF1. Evaluated against a manually-curated reference, F1-scores over 0.8 for X/Y phenotypes for 380 individuals indicate successful phenotyping by the model.","['EHR-based phenotyping', 'Secondary use of EHR data', 'Natural Language Processing']"
38,Comparing Colorectal Cancer Diagnosis Ascertainment Methods in the Million Veteran Program,,"The purpose was to describe rates and agreement of CRC cases in a Million Veteran Program (MVP) cohort (n=216,891) using four ascertainment approaches: 1) diagnosis codes (ICD), 2) ICD + natural language processing, 3) cancer registry, and 4) self-report. CRC case rates ranged 1.0-2.4% and 2.9% when combining all approaches. Agreement of the ascertainment approaches in most pairwise assessments was moderate to substantial. Discordant cases need examination, but combining approaches prevents excluding unrecognized cases.","['Informatics research/biomedical informatics research methods', 'Measuring outcomes', 'Reproducible research methods and tools']"
39,Capturing Novel Research Assays in a Common Data Model to Support Clinical Decision Support Tools,,The integration of data lakes into a relational database allows for the storage and retrieval of complex research assays that don’t match traditional data structures.,"['Clinical decision support for translational/data science interventions', 'Data transformation/ETL', 'Informatics research/biomedical informatics research methods']"
40,Predicting Recurrence of Low-Grade Glioma – A Deep Learning Approach,Proactive Machine Learning in Biomedical Applications: The Power of Generative AI and Reinforcement Learning,"Low-grade gliomas (LGGs) are a subset of primary grade I and grade II brain tumors characterized by their slow growth and high rates of relapse, with ~62% of patients experiencing recurrence within five years and 17%-32% progressing from low to high-grade glioma. Due to the slow progression, high recurrence, and relatively long survival of LGG, physicians must balance the benefits of intervention against possible treatment-related complications. Understanding a patient's likelihood of LGG recurrence can help physicians optimize treatment selection and surgical timing to improve overall outcomes, minimize treatment-related disability, and maximize quality of life. Deep learning techniques have shown increasing promise in various medical applications, including disease recurrence prediction. In this project, we examine the capacity of deep and machine learning models to predict LG recurrence using the tumor histology, variant (SNPs and indels) counts per gene, and mRNA expression Z- scores of 251 tumor samples in the TCGA Brain Lower Grade Glioma dataset (via cBioPortal). Our model achieved the highest ROC-AUC (0.860) and tied in accuracy (0.765) with Linear SVC. The 10 top selected features included RAB3GAP2, SLC7A9, GIMAP6, MET, SVIL, LAMA3, and CIC mutation counts, astrocytoma histology, and IDH1 and TP53 mutation counts. Although further investigation is required, as our model predicted LGG recurrence in a modest and racially homogenous (0.936 White, 0.044 Black, 0.004 Asian, 0.004 American Indian or Alaska Native), the selected features provide gene targets for consideration in future research on targeted therapies and mechanisms of recurrence.","['Clinical genomics/omics and interventions based on omics data', 'Machine learning and predictive modeling', 'Genomics/Omic data interpretation']"
41,The Atlas of Protein-Protein Interactions in Cancer,Integrating Multi-Modal health Data to Enhance the Power of Informatics,"Patients affected by one cancer type display significant heterogeneity, suggesting the need to characterize cancers into subtypes. We used publicly-available RNA-seq data of cancer patients across ten tissue types to define the protein-protein interactions (PPIs) of 26 cancer subtypes. We then developed the Atlas of Protein-Protein Interactions in Cancer, a web application that visualizes PPIs and aggregates biological/clinical information from databases. APPIC will advance the understanding of cancer subtype mechanisms and development of therapeutic strategies.","['Data Integration', 'Advanced data visualization tools and techniques', 'Clinical and research data collection, curation, preservation, or sharing']"
